Event_Title,Event_Date,Event_Location,fighterA,fighterB,kdA,kdB,end_time,method,round,STRa,STRb,SubA,SubB,TDa,TDb,weight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Jamahal Hill,Thiago Santos,0,0,2:31,KO/TKO,4,89,53,0,0,0,6,Light Heavyweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Geoff Neal,Vicente Luque,2,0,2:01,KO/TKO,3,121,97,0,0,1,0,Welterweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Mohammed Usman,Zac Pauga,1,0,0:36,KO/TKO,2,12,32,0,0,0,0,Heavyweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Juliana Miller,Brogan Walker,0,0,3:57,KO/TKO,3,54,30,1,0,4,0,Women's Flyweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Serghei Spivac,Augusto Sakai,0,0,3:42,KO/TKO,2,33,8,1,0,6,0,Heavyweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Terrance McKinney,Erick Gonzalez,0,0,2:17,SUB,1,18,9,1,0,1,0,Lightweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Michal Oleksiejczuk,Sam Alvey,2,0,1:56,KO/TKO,1,22,3,0,0,0,0,Middleweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Bryan Battle,Takashi Sato,1,0,0:44,KO/TKO,1,7,2,0,0,0,0,Welterweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Cory McKenna,Miranda Granger,0,0,1:03,SUB,2,13,13,2,0,3,0,Women's Strawweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Mayra Bueno Silva,Stephanie Egger,0,0,1:17,SUB,1,4,8,1,0,0,1,Women's Bantamweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Amanda Nunes,Julianna Pena,3,0,5:00,U-DEC,5,85,60,1,1,6,0,Women's Bantamweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Brandon Moreno,Kai Kara-France,1,0,4:34,KO/TKO,3,58,53,0,0,0,1,Flyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Sergei Pavlovich,Derrick Lewis,1,0,0:55,KO/TKO,1,15,4,0,0,0,0,Heavyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Alexandre Pantoja,Alex Perez,0,0,1:31,SUB,1,8,10,1,0,1,0,Flyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Magomed Ankalaev,Anthony Smith,0,0,3:09,KO/TKO,2,46,18,0,0,0,0,Light Heavyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Alex Morono,Matthew Semelsberger,0,1,5:00,U-DEC,3,106,74,0,0,0,1,Welterweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Drew Dober,Rafael Alves,1,0,1:30,KO/TKO,3,62,37,0,0,0,1,Lightweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Hamdy Abdelwahab,Don'Tale Mayes,1,0,5:00,S-DEC,3,58,47,0,0,3,0,Heavyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Drakkar Klose,Rafa Garcia,0,0,5:00,U-DEC,3,61,34,0,0,2,3,Lightweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Michael Morales,Adam Fugitt,2,0,1:09,KO/TKO,3,83,64,0,0,0,1,Welterweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Joselyne Edwards,Ji Yeon Kim,0,0,5:00,S-DEC,3,101,78,0,0,1,0,Women's Bantamweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Nicolae Negumereanu,Ihor Potieria,0,0,3:33,KO/TKO,2,51,38,0,0,2,0,Light Heavyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Orion Cosce,Blood Diamond,0,0,5:00,U-DEC,3,25,63,0,0,3,0,Welterweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Curtis Blaydes,Tom Aspinall,0,0,0:15,KO/TKO,1,4,3,0,0,0,0,Heavyweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Jack Hermansson,Chris Curtis,0,0,5:00,U-DEC,3,100,43,0,0,0,0,Middleweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Paddy Pimblett,Jordan Leavitt,0,0,2:46,SUB,2,17,16,4,0,1,3,Lightweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Nikita Krylov,Alexander Gustafsson,2,0,1:07,KO/TKO,1,26,5,0,0,0,0,Light Heavyweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Molly McCann,Hannah Goldy,1,0,3:52,KO/TKO,1,24,9,0,0,0,0,Women's Flyweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Volkan Oezdemir,Paul Craig,0,0,5:00,U-DEC,3,72,33,0,0,1,0,Light Heavyweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Ludovit Klein,Mason Jones,1,0,5:00,U-DEC,3,50,43,0,0,0,0,Lightweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Marc Diakiese,Damir Hadzovic,0,0,5:00,U-DEC,3,13,5,0,0,8,0,Lightweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Nathaniel Wood,Charles Rosa,0,0,5:00,U-DEC,3,97,51,0,1,1,2,Featherweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Jonathan Pearce,Makwan Amirkhani,0,0,4:10,KO/TKO,2,90,11,0,0,4,3,Featherweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Muhammad Mokaev,Charles Johnson,0,0,5:00,U-DEC,3,12,12,0,0,12,0,Flyweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Jai Herbert,Kyle Nelson,0,0,5:00,U-DEC,3,36,41,0,0,0,0,Lightweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Victoria Leonardo,Mandy Bohm,0,0,5:00,U-DEC,3,39,52,0,1,2,0,Women's Flyweight
UFC Fight Night: Blaydes vs. Aspinall,23-Jul-22,"London, England, United Kingdom",Nicolas Dalby,Claudio Silva,0,0,5:00,U-DEC,3,45,11,1,0,1,4,Welterweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Yair Rodriguez,Brian Ortega,0,0,4:11,KO/TKO,1,23,22,0,0,0,1,Featherweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Amanda Lemos,Michelle Waterson-Gomez,0,0,1:48,SUB,2,20,29,1,0,0,1,Women's Strawweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Li Jingliang,Muslim Salikhov,1,0,4:38,KO/TKO,2,38,23,0,0,1,1,Welterweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Matt Schnell,Sumudaerji,0,1,4:24,SUB,2,47,58,2,0,2,0,Flyweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Shane Burgos,Charles Jourdain,0,0,5:00,M-DEC,3,42,113,3,0,2,0,Featherweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Lauren Murphy,Miesha Tate,0,0,5:00,U-DEC,3,102,85,0,0,2,0,Women's Flyweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Punahele Soriano,Dalcha Lungiambula,1,0,0:28,KO/TKO,2,17,11,0,0,0,2,Middleweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Ricky Simon,Jack Shore,1,0,3:28,SUB,2,25,19,1,0,2,0,Bantamweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Bill Algeo,Herbert Burns,0,0,1:50,KO/TKO,2,28,10,0,2,1,1,Featherweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Dustin Jacoby,Da-Un Jung,1,0,3:13,KO/TKO,1,14,14,0,0,0,0,Light Heavyweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Dustin Stoltzfus,Dwight Grant,0,0,5:00,U-DEC,3,49,52,0,0,2,0,Middleweight
UFC Fight Night: Ortega vs. Rodriguez,16-Jul-22,"Elmont, New York, USA",Emily Ducote,Jessica Penne,0,0,5:00,U-DEC,3,116,63,0,0,0,0,Women's Strawweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",Rafael Fiziev,Rafael Dos Anjos,1,0,0:18,KO/TKO,5,64,54,0,0,0,2,Lightweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",Caio Borralho,Armen Petrosyan,0,0,5:00,U-DEC,3,12,31,0,0,4,0,Middleweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",Said Nurmagomedov,Douglas Silva de Andrade,0,0,5:00,U-DEC,3,42,28,0,0,1,1,Bantamweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",Chase Sherman,Jared Vanderaa,1,0,3:10,KO/TKO,3,137,109,0,0,0,0,Heavyweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",Aiemann Zahabi,Ricky Turcios,0,0,5:00,U-DEC,3,54,27,0,0,0,0,Bantamweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",Jamie Mullarkey,Michael Johnson,0,1,5:00,S-DEC,3,96,66,0,0,0,0,Lightweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",Cody Brundage,Tresean Gore,1,0,3:50,KO/TKO,1,15,8,0,0,1,0,Middleweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",Antonina Shevchenko,Cortney Casey,0,0,5:00,S-DEC,3,55,33,0,0,0,2,Women's Flyweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",David Onama,Garrett Armfield,0,0,3:13,SUB,2,29,21,1,0,2,0,Featherweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",Kennedy Nzechukwu,Karl Roberson,0,0,2:19,KO/TKO,3,20,9,1,0,5,0,Light Heavyweight
UFC Fight Night: Dos Anjos vs. Fiziev,9-Jul-22,"Las Vegas, Nevada, USA",Saidyokub Kakhramonov,Ronnie Lawrence,0,0,5:00,U-DEC,3,32,15,0,0,10,1,Bantamweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Israel Adesanya,Jared Cannonier,0,0,5:00,U-DEC,5,116,90,0,0,0,0,Middleweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Alexander Volkanovski,Max Holloway,0,0,5:00,U-DEC,5,199,127,0,0,0,0,Featherweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Alex Pereira,Sean Strickland,1,0,2:36,KO/TKO,1,25,15,0,0,0,0,Middleweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Bryan Barberena,Robbie Lawler,0,0,4:47,KO/TKO,2,147,81,0,0,0,0,Welterweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Pedro Munhoz,Sean O'Malley,0,0,3:09,CNC,2,26,25,0,0,0,0,Bantamweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Jalin Turner,Brad Riddell,0,0,0:45,SUB,1,3,2,1,0,0,0,Lightweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Jim Miller,Donald Cerrone,0,0,1:32,SUB,2,24,21,1,0,1,0,Welterweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Ian Garry,Gabe Green,1,0,5:00,U-DEC,3,116,90,0,0,1,1,Welterweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Dricus Du Plessis,Brad Tavares,0,0,5:00,U-DEC,3,113,82,0,0,0,0,Middleweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Andre Muniz,Uriah Hall,0,0,5:00,U-DEC,3,17,6,0,0,4,0,Middleweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Maycee Barber,Jessica Eye,0,0,5:00,U-DEC,3,63,35,0,0,0,1,Women's Flyweight
UFC 276: Adesanya vs. Cannonier,2-Jul-22,"Las Vegas, Nevada, USA",Julija Stoliarenko,Jessica-Rose Clark,0,0,0:42,SUB,1,6,9,1,0,1,0,Women's Bantamweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Mateusz Gamrot,Arman Tsarukyan,0,1,5:00,U-DEC,5,81,95,0,0,6,1,Lightweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Shavkat Rakhmonov,Neil Magny,0,0,4:58,SUB,2,19,11,1,0,2,0,Welterweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Josh Parisian,Alan Baudot,0,1,3:04,KO/TKO,2,42,49,0,0,3,0,Heavyweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Thiago Moises,Christos Giagos,0,0,3:05,SUB,1,3,2,1,0,1,0,Lightweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Umar Nurmagomedov,Nate Maness,0,0,5:00,U-DEC,3,74,2,0,0,3,0,Bantamweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Chris Curtis,Rodolfo Vieira,0,0,5:00,U-DEC,3,109,86,0,0,0,0,Middleweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Carlos Ulberg,Tafon Nchukwi,1,0,1:15,KO/TKO,1,15,3,0,0,0,0,Light Heavyweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Shayilan Nuerdanbieke,TJ Brown,1,0,5:00,U-DEC,3,47,42,0,4,3,1,Featherweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Sergey Morozov,Raulian Paiva,0,0,5:00,U-DEC,3,68,63,0,0,2,1,Bantamweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Cody Durden,JP Buys,1,0,1:08,KO/TKO,1,23,7,0,0,0,0,Flyweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Mario Bautista,Brian Kelleher,0,0,2:27,SUB,1,6,2,1,0,2,0,Bantamweight
UFC Fight Night: Tsarukyan vs. Gamrot,25-Jun-22,"Las Vegas, Nevada, USA",Vanessa Demopoulos,Jinh Yu Frey,0,0,5:00,S-DEC,3,66,62,0,0,1,0,Women's Strawweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Josh Emmett,Calvin Kattar,0,0,5:00,S-DEC,5,107,130,0,0,0,0,Featherweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Kevin Holland,Tim Means,0,0,1:28,SUB,2,36,21,1,0,0,2,Welterweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Joaquin Buckley,Albert Duraev,2,0,5:00,KO/TKO,2,27,10,0,0,0,2,Middleweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Damir Ismagulov,Guram Kutateladze,0,0,5:00,S-DEC,3,79,78,0,0,0,1,Lightweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Gregory Rodrigues,Julian Marquez,3,0,3:18,KO/TKO,1,49,13,0,0,0,0,Middleweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Adrian Yanez,Tony Kelley,1,0,3:49,KO/TKO,1,35,20,0,0,0,0,Bantamweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Natalia Silva,Jasmine Jasudavicius,0,0,5:00,U-DEC,3,96,31,0,0,2,0,Women's Flyweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Jeremiah Wells,Court McGee,1,0,1:34,KO/TKO,1,7,3,0,0,0,0,Welterweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Ricardo Ramos,Danny Chavez,1,0,1:12,KO/TKO,1,4,3,0,0,0,0,Featherweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Maria Oliveira,Gloria de Paula,0,0,5:00,S-DEC,3,96,105,0,0,2,2,Women's Strawweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Cody Stamann,Eddie Wineland,1,0,0:59,KO/TKO,1,27,3,0,0,0,0,Bantamweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Phil Hawes,Deron Winn,1,0,4:25,KO/TKO,2,118,32,0,0,1,0,Middleweight
UFC Fight Night: Kattar vs. Emmett,18-Jun-22,"Austin, Texas, USA",Roman Dolidze,Kyle Daukaus,2,0,1:13,KO/TKO,1,8,4,0,0,0,0,Middleweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Jiri Prochazka,Glover Teixeira,0,0,4:32,SUB,5,120,111,1,1,0,5,Light Heavyweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Valentina Shevchenko,Taila Santos,0,0,5:00,S-DEC,5,77,55,1,3,3,3,Women's Flyweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Zhang Weili,Joanna Jedrzejczyk,1,0,2:28,KO/TKO,2,69,43,0,0,3,0,Women's Strawweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Jake Matthews,Andre Fialho,1,0,2:24,KO/TKO,2,47,18,0,0,0,0,Welterweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Jack Della Maddalena,Ramazan Emeev,1,0,2:32,KO/TKO,1,18,7,0,1,0,1,Welterweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Josh Culibao,SeungWoo Choi,2,0,5:00,S-DEC,3,51,46,0,0,0,1,Featherweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Maheshate,Steve Garcia,2,0,1:14,KO/TKO,1,7,7,0,0,0,0,Lightweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Brendan Allen,Jacob Malkoun,0,0,5:00,U-DEC,3,45,33,0,0,2,7,Middleweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Kyung Ho Kang,Batgerel Danaa,0,0,5:00,U-DEC,3,100,109,0,0,0,0,Bantamweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Silvana Gomez Juarez,Liang Na,1,0,1:22,KO/TKO,1,8,4,0,0,0,0,Women's Strawweight
UFC 275: Teixeira vs. Prochazka,11-Jun-22,"Kallang, Singapore",Joselyne Edwards,Ramona Pascual,0,0,5:00,U-DEC,3,164,63,0,0,0,1,Women's Featherweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Alexander Volkov,Jairzinho Rozenstruik,0,0,2:12,KO/TKO,1,21,6,0,0,0,0,Heavyweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Movsar Evloev,Dan Ige,0,0,5:00,U-DEC,3,68,42,0,0,9,0,Featherweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Lucas Almeida,Michael Trizano,2,1,0:55,KO/TKO,3,75,31,0,0,0,0,Featherweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Karine Silva,Poliana Botelho,0,0,4:55,SUB,1,17,19,1,0,1,0,Women's Flyweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Ode Osbourne,Zarrukh Adashev,1,0,1:01,KO/TKO,1,7,7,0,0,0,0,Flyweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Alonzo Menifield,Askar Mozharov,0,0,4:40,KO/TKO,1,19,2,0,0,2,0,Light Heavyweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Karolina Kowalkiewicz,Felice Herrig,0,0,4:01,SUB,2,82,55,2,0,0,0,Women's Strawweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Joe Solecki,Alex Da Silva,0,1,5:00,M-DEC,3,33,35,3,0,1,0,Lightweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Damon Jackson,Dan Argueta,0,0,5:00,U-DEC,3,32,27,1,0,2,1,Featherweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Benoit Saint Denis,Niklas Stolze,0,0,1:32,SUB,2,8,11,2,1,3,0,Lightweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Tony Gravely,Johnny Munoz,1,0,1:08,KO/TKO,1,5,2,0,0,0,0,Bantamweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Jeff Molina,Zhalgas Zhumagulov,0,0,5:00,S-DEC,3,56,37,0,0,0,2,Flyweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Rinat Fakhretdinov,Andreas Michailidis,0,0,5:00,U-DEC,3,45,18,0,0,5,0,Welterweight
UFC Fight Night: Volkov vs. Rozenstruik,4-Jun-22,"Las Vegas, Nevada, USA",Erin Blanchfield,JJ Aldrich,0,0,2:38,SUB,2,48,32,1,0,0,2,Women's Flyweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Ketlen Vieira,Holly Holm,0,0,5:00,S-DEC,5,85,96,1,0,1,0,Women's Bantamweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Michel Pereira,Santiago Ponzinibbio,0,0,5:00,S-DEC,3,110,105,0,0,0,1,Welterweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Chidi Njokuani,Dusko Todorovic,1,0,4:48,KO/TKO,1,14,5,1,0,0,2,Middleweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Tabatha Ricci,Polyana Viana,0,0,5:00,U-DEC,3,33,36,0,0,5,0,Women's Strawweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Junyong Park,Eryk Anders,0,0,5:00,S-DEC,3,105,65,0,0,0,3,Middleweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Joseph Holmes,Alen Amedovski,1,0,1:04,SUB,1,16,1,1,0,1,0,Middleweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Jailton Almeida,Parker Porter,0,0,4:35,SUB,1,18,0,1,0,1,0,Heavyweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Uros Medic,Omar Morales,2,0,3:05,KO/TKO,2,47,33,0,0,0,0,Lightweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Jonathan Martinez,Vince Morales,0,0,5:00,U-DEC,3,88,51,0,0,2,0,Bantamweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Chase Hooper,Felipe Colares,0,0,3:00,KO/TKO,3,60,21,3,0,4,2,Featherweight
UFC Fight Night: Holm vs. Vieira,21-May-22,"Las Vegas, Nevada, USA",Sam Hughes,Elise Reed,0,0,3:52,KO/TKO,3,43,17,0,0,4,0,Women's Strawweight
UFC Fight Night: Blachowicz vs. Rakic,14-May-22,"Las Vegas, Nevada, USA",Jan Blachowicz,Aleksandar Rakic,0,0,1:11,KO/TKO,3,31,27,1,0,0,1,Light Heavyweight
UFC Fight Night: Blachowicz vs. Rakic,14-May-22,"Las Vegas, Nevada, USA",Ryan Spann,Ion Cutelaba,0,0,2:22,SUB,1,4,2,1,0,0,3,Light Heavyweight
UFC Fight Night: Blachowicz vs. Rakic,14-May-22,"Las Vegas, Nevada, USA",Davey Grant,Louis Smolka,1,0,0:49,KO/TKO,3,81,71,0,0,0,0,Bantamweight
UFC Fight Night: Blachowicz vs. Rakic,14-May-22,"Las Vegas, Nevada, USA",Katlyn Chookagian,Amanda Ribas,0,0,5:00,S-DEC,3,63,55,0,0,0,3,Women's Flyweight
UFC Fight Night: Blachowicz vs. Rakic,14-May-22,"Las Vegas, Nevada, USA",Manuel Torres,Frank Camacho,1,0,3:27,KO/TKO,1,34,16,0,0,0,0,Lightweight
UFC Fight Night: Blachowicz vs. Rakic,14-May-22,"Las Vegas, Nevada, USA",Allan Nascimento,Jake Hadley,0,0,5:00,U-DEC,3,19,8,0,1,2,0,Flyweight
UFC Fight Night: Blachowicz vs. Rakic,14-May-22,"Las Vegas, Nevada, USA",Viviane Araujo,Andrea Lee,0,1,5:00,U-DEC,3,39,47,2,0,3,1,Women's Flyweight
UFC Fight Night: Blachowicz vs. Rakic,14-May-22,"Las Vegas, Nevada, USA",Michael Johnson,Alan Patrick,1,0,3:22,KO/TKO,2,30,22,0,0,1,0,Lightweight
UFC Fight Night: Blachowicz vs. Rakic,14-May-22,"Las Vegas, Nevada, USA",Virna Jandiroba,Angela Hill,0,0,5:00,U-DEC,3,14,21,0,0,3,1,Women's Strawweight
UFC Fight Night: Blachowicz vs. Rakic,14-May-22,"Las Vegas, Nevada, USA",Tatsuro Taira,Carlos Candelario,1,0,5:00,U-DEC,3,57,9,3,1,1,2,Flyweight
